stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
ABCH,"Abbé Chérel",,47.21011924,-1.65169222,,,1,,
ABDU,"Abel Durand",,47.22024715,-1.60339908,,,1,,
ABLA,"Avenue Blanche",,47.22982085,-1.58942719,,,1,,
ABOL,"Adrienne Bolland",,47.26791335,-1.47684627,,,1,,
ACHA,"Angle Chaillou",,47.26976827,-1.57211610,,,1,,
ADBO,"Audubon",,47.21401606,-1.72323592,,,1,,
ADEL,"Aimé Delrue",,47.20899731,-1.55009787,,,1,,
ADPI,"Avenue des Pins",,47.25367844,-1.59766118,,,1,,
AECL,"Aéroclub",,47.15926556,-1.59825258,,,1,,
AEPO,"Aéroport",,47.15761252,-1.59654656,,,1,,
AESP,"Aérospatiale",,47.16135928,-1.58704949,,,1,,
AFRA,"Anatole France",,47.22392580,-1.57207157,,,1,,
AGBE,"L'Angebert",,47.14054089,-1.45576884,,,1,,
AGDR,"Angebardière",,47.16974803,-1.50657066,,,1,,
AGVI,"Angevinière",,47.24599501,-1.61164521,,,1,,
AIBU,"Airbus",,47.15855607,-1.59265433,,,1,,
AIGU,"Aiguillon",,47.25447241,-1.49652294,,,1,,
ALCH,"Champ de l'Alouette",,47.28282777,-1.58008630,,,1,,
ALDE,"Allende",,47.17534325,-1.62321096,,,1,,
ALNE,"Aulne",,47.27693730,-1.63907702,,,1,,
AMCA,"Armoricaine",,47.25827307,-1.64747915,,,1,,
AMER,"Américains",,47.23612591,-1.56820260,,,1,,
AMPE,"Ampère",,47.26077064,-1.55320077,,,1,,
ANGE,"Les Anges",,47.27529402,-1.63710197,,,1,,
ANTO,"Antons",,47.25768542,-1.62269552,,,1,,
APAV,"Apave",,47.22539944,-1.64741053,,,1,,
APER,"Ampère",,47.30227711,-1.50789738,,,1,,
APRE,"Ambroise Paré",,47.22907805,-1.60854526,,,1,,
AQUI,"Aquitaine",,47.20985019,-1.61505823,,,1,,
ARAG,"Arago",,47.30355064,-1.50481141,,,1,,
ARBO,"Arbois",,47.25862883,-1.58188527,,,1,,
ARCA,"Arcades",,47.21203639,-1.65355356,,,1,,
ARGO,"Argonautes",,47.30242198,-1.48182549,,,1,,
ARMO,"Armorique",,47.27147205,-1.44534382,,,1,,
AROR,"Armor",,47.23106632,-1.63196468,,,1,,
ATAR,"Antarès",,47.28171329,-1.45983230,,,1,,
AUCP,"La Chapelle Aulnay",,47.30814501,-1.54248265,,,1,,
AUFR,"L'Aufrère",,47.16804829,-1.52507017,,,1,,
AUGE,"Augé",,47.19496578,-1.51736648,,,1,,
AURR,"Aurore",,47.26539845,-1.58145537,,,1,,
AVEN,"Aveneaux",,47.23282778,-1.63050854,,,1,,
BABI,"Barbinière",,47.15985795,-1.48169668,,,1,,
BAGA,"Bagatelle",,47.24354033,-1.62019325,,,1,,
BAIE,"Babinière",,47.25920497,-1.54620749,,,1,,
BAIR,"Bel Air",,47.22578752,-1.55964729,,,1,,
BALI,"Balinière",,47.18462388,-1.55440535,,,1,,
BANS,"Bois des Anses",,47.24669068,-1.49490701,,,1,,
BARR,"La Barre",,47.30881395,-1.38257905,,,1,,
BAST,"Bastille",,47.17903610,-1.59693154,,,1,,
BATI,"Batignolles",,47.25560409,-1.53007173,,,1,,
BAUG,"Baugerie",,47.20378578,-1.52024833,,,1,,
BAVO,"Basse Orévière",,47.22040673,-1.65893741,,,1,,
BBON,"Boisbonne",,47.28686058,-1.50837641,,,1,,
BCES,"Bois Cesbron",,47.26104500,-1.62453204,,,1,,
BCGA,"Bd Charles Gautier",,47.22227709,-1.60725043,,,1,,
BCHE,"Basse Chênaie",,47.24148518,-1.50789102,,,1,,
BCNY,"Bas-Chantenay",,47.19821371,-1.58922286,,,1,,
BCOI,"Branchoire",,47.21782589,-1.60308856,,,1,,
BCTT,"Blanchet",,47.17166881,-1.54329386,,,1,,
BDAN,"Bd des Anglais",,47.22670758,-1.58298444,,,1,,
BDEL,"Baudelaire",,47.23366160,-1.59301502,,,1,,
BDIN,"Bodinière",,47.21000731,-1.64190242,,,1,,
BDLA,"Bout des Landes",,47.26753227,-1.58227339,,,1,,
BDNN,"Bourdonnais",,47.20555361,-1.57998111,,,1,,
BDOU,"Bd de Doulon",,47.22423423,-1.52013619,,,1,,
